Time,temp
1777933644.8350825,76.10
1777933645.045859,75.99
1777933645.2565832,76.10
1777933645.4687116,76.10
1777933645.681331,75.99
1777933645.8936539,76.10
1777933646.1038842,75.99
1777933646.3153303,76.10
1777933646.5256455,75.99
1777933646.7372978,76.10
1777933646.9474654,76.10
1777933647.159327,76.10
1777933647.370366,76.10
1777933647.5832732,76.21
1777933647.7965574,75.88
1777933648.0077481,76.21
1777933648.2174373,76.21
1777933648.430115,76.10
1777933648.641168,76.10
1777933648.8509398,75.88
1777933649.0613883,75.99
1777933649.2727392,76.10
1777933649.4839664,76.10
1777933649.6970005,76.10
1777933649.90872,76.10
1777933650.121997,76.10
1777933650.3347182,76.10
1777933650.547543,76.33
1777933650.7606199,76.10
1777933650.9722087,76.10
1777933651.1822631,76.21
1777933651.3944287,75.99
1777933651.6062536,75.99
