Time,solar
1778049496.1042306,0.83
1778049497.1101577,0.83
1778049498.095339,0.84
1778049499.1036463,0.84
1778049500.1088614,0.88
1778049501.098051,0.88
1778049502.1057355,0.89
1778049503.1088681,0.90
1778049504.1029885,0.88
1778049505.1070466,0.91
1778049506.1111038,0.89
1778049507.117102,0.89
1778049508.1027024,0.88
1778049509.1037962,0.89
1778049510.1084685,0.87
1778049511.1104763,0.89
1778049512.1134622,0.92
1778049513.0974894,0.90
1778049514.10276,0.93
1778049515.1134286,0.94
1778049516.1053085,0.93
1778049517.1070285,0.93
1778049518.1123195,0.90
1778049519.099276,0.88
1778049520.1019855,0.87
1778049521.1111176,0.75
1778049522.1170368,0.79
1778049523.10258,0.85
1778049524.1143572,0.86
1778049525.1003983,0.94
1778049526.108177,0.93
