Time,solar
1778049404.1157,1.11
1778049405.1020834,1.08
1778049406.106147,1.12
1778049407.1091774,1.09
1778049408.098374,1.12
1778049409.1011977,1.08
1778049410.1044703,1.11
1778049411.1099334,1.08
1778049412.0971951,1.11
1778049413.1076083,1.11
1778049414.116123,1.11
1778049415.100595,1.11
1778049416.1078787,1.11
1778049417.1118598,1.07
1778049418.112095,1.07
1778049419.119898,1.07
1778049420.1042526,1.07
1778049421.1086714,1.12
1778049422.1108606,1.08
1778049423.1140888,1.07
1778049424.0977845,1.07
1778049425.1013923,1.11
1778049426.1122339,1.09
1778049427.114653,1.07
1778049428.1144288,1.07
1778049429.0965998,1.09
1778049430.0994053,1.07
1778049431.1121917,1.10
1778049432.0987916,1.07
1778049433.10283,1.11
1778049434.11133,1.11
