Time,temp
1778040215.083894,27.75
1778040215.2037315,27.75
1778040215.3382769,27.75
1778040215.4589806,27.75
1778040215.582183,27.62
1778040215.7061095,27.62
1778040215.8265054,27.62
1778040215.9470212,27.62
1778040216.070129,27.62
1778040216.1902318,27.62
1778040216.313744,27.62
1778040216.4360194,27.56
1778040216.57248,27.62
1778040216.70189,27.62
1778040216.8242216,27.50
1778040216.9487138,27.50
1778040217.0697725,27.56
1778040217.1920314,27.56
1778040217.3128183,27.56
1778040217.434951,27.56
1778040217.5572386,27.44
1778040217.6808815,27.44
1778040217.8034801,27.50
1778040217.927917,27.50
1778040218.0488477,27.50
1778040218.1699917,27.50
1778040218.2938201,27.44
1778040218.4213066,27.44
1778040218.543554,27.44
1778040218.666226,27.44
1778040218.7857523,27.38
1778040218.9082854,27.38
1778040219.0305119,27.38
1778040219.150467,27.38
1778040219.271977,27.31
1778040219.3932955,27.31
1778040219.5134423,27.31
1778040219.6361175,27.31
1778040219.7586854,27.25
1778040219.883253,27.25
1778040220.0048325,27.31
1778040220.1251285,27.31
1778040220.2483993,27.25
1778040220.3718064,27.25
1778040220.4983628,27.19
1778040220.6227026,27.19
1778040220.744811,27.19
1778040220.866541,27.19
1778040220.9920805,27.19
1778040221.1172974,27.19
1778040221.24207,27.25
1778040221.3647149,27.25
1778040221.488698,27.25
1778040221.6144714,27.25
1778040221.73769,27.12
1778040221.861642,27.12
1778040221.9820278,27.12
1778040222.1015353,27.12
1778040222.2229445,27.12
1778040222.34514,27.12
1778040222.4778056,27.12
1778040222.5973506,27.12
1778040222.7339041,27.06
1778040222.8645034,27.06
1778040222.9904034,27.12
1778040223.112332,27.12
1778040223.237543,27.12
1778040223.3591394,27.12
1778040223.4817371,27.06
1778040223.604886,27.06
1778040223.7267888,26.94
1778040223.8495326,26.94
1778040223.9729917,26.94
1778040224.0966778,26.94
1778040224.2195272,26.88
1778040224.3454986,26.88
1778040224.468337,26.94
1778040224.5926037,26.94
1778040224.713203,26.94
1778040224.8459775,26.94
1778040224.9680555,26.81
1778040225.0880704,26.81
1778040225.2172158,26.81
1778040225.3484836,26.81
1778040225.4796057,26.88
1778040225.6086621,26.88
1778040225.7301943,26.81
1778040225.8564851,26.81
1778040225.981506,26.94
1778040226.1097164,26.94
1778040226.2291782,26.88
1778040226.3576553,26.88
1778040226.4886627,26.88
1778040226.6212332,26.88
1778040226.7531552,26.81
1778040226.8744006,26.81
1778040226.9947395,26.81
1778040227.1168275,26.81
1778040227.2395518,26.81
1778040227.3608487,26.81
1778040227.4950302,26.81
1778040227.6171675,26.75
1778040227.7422912,26.75
1778040227.865841,26.62
1778040227.986449,26.62
1778040228.1085935,26.81
1778040228.2306018,26.81
1778040228.3524904,26.75
1778040228.4731271,26.75
1778040228.5925202,26.62
1778040228.7276025,26.62
1778040228.8519526,26.69
1778040228.975764,26.69
1778040229.1145504,26.56
1778040229.2459068,26.56
1778040229.366668,26.69
1778040229.4880068,26.69
1778040229.610952,26.62
1778040229.7336733,26.62
1778040229.854538,26.62
1778040229.9795496,26.62
1778040230.1054919,26.56
1778040230.2366152,26.56
1778040230.361091,26.56
1778040230.4859586,26.56
1778040230.6053784,26.62
1778040230.7283714,26.62
1778040230.8473551,26.50
1778040230.968891,26.50
1778040231.09058,26.56
1778040231.210778,26.56
1778040231.3335962,26.50
1778040231.4573197,26.50
1778040231.5806582,26.50
1778040231.7009451,26.50
1778040231.8239317,26.38
1778040231.9540884,26.38
1778040232.082353,26.50
1778040232.2061152,26.50
1778040232.3263762,26.44
1778040232.4476066,26.44
1778040232.5687106,26.50
1778040232.6968026,26.50
1778040232.8191788,26.38
1778040232.9416838,26.38
1778040233.0612874,26.31
1778040233.1835985,26.31
1778040233.3032203,26.31
1778040233.4260004,26.31
1778040233.5467207,26.44
1778040233.6664572,26.44
1778040233.7904732,26.38
1778040233.911333,26.38
1778040234.0341833,26.25
1778040234.1565478,26.25
1778040234.2777078,26.38
1778040234.4012878,26.38
1778040234.5213513,26.31
1778040234.6444128,26.31
1778040234.7667427,26.25
1778040234.8870928,26.25
1778040235.0088394,26.38
1778040235.1339562,26.38
1778040235.2556071,26.25
1778040235.3780754,26.25
1778040235.5007787,26.31
1778040235.6233077,26.31
1778040235.7437637,26.31
1778040235.870426,26.31
1778040235.9985929,26.12
1778040236.120754,26.12
1778040236.2458563,26.12
1778040236.371364,26.12
1778040236.4991045,26.19
1778040236.6211314,26.19
1778040236.747761,26.12
1778040236.8676534,26.12
1778040236.9949353,26.19
1778040237.1146996,26.19
1778040237.2366197,26.12
1778040237.3585393,26.12
1778040237.4805975,26.12
1778040237.605003,26.12
1778040237.725957,26.19
1778040237.8467948,26.19
1778040237.9683459,26.25
1778040238.0891907,26.25
1778040238.2125351,25.94
1778040238.3356009,25.94
1778040238.4666576,26.12
1778040238.5884686,26.12
1778040238.7139864,26.00
1778040238.8400497,26.00
1778040238.9655833,26.06
1778040239.0918558,26.06
1778040239.2162857,26.12
1778040239.339499,26.12
1778040239.462176,26.00
